Record_ID,Date,City,PM2.5,PM10,NO2,SO2,CO,O3,AQI,AQI_Category,Temperature_C,Humidity_%,Wind_Speed_kmph
1,1/1/2023,Hyderabad,90.3,161.9,15.3,2.8,1.03,23.1,283,Poor,31.3,90.8,9.6
2,1/1/2023,Mumbai,57.1,91.3,44.1,2.7,1.59,19.2,53,Satisfactory,26.1,80.5,3
3,1/1/2023,Ahmedabad,85.4,151,23.9,6.3,1.68,118.7,172,Moderate,27.4,90.4,1.9
4,1/1/2023,Hyderabad,77.7,129.1,21.9,11.5,0.56,27.7,171,Moderate,29.6,28.5,3.1
5,1/1/2023,Jaipur,80.4,110.3,18.8,10.6,0.49,49.6,167,Moderate,37.8,55.3,1.8
6,1/1/2023,Chennai,41.6,72,17.6,5.9,0.35,23.3,87,Satisfactory,34,52.9,3
7,1/1/2023,Jaipur,42.3,71.8,13.3,7.1,1.88,16.8,81,Satisfactory,34.8,48,1.8
8,1/1/2023,Kolkata,120.1,168.9,24.1,15.6,0.56,52.2,309,Very Poor,33.7,48.6,3
9,1/1/2023,Delhi,84.5,113.8,43.3,3.9,1.11,30.6,161,Moderate,22.5,56.3,1.2
10,1/1/2023,Lucknow,116.8,206.9,60.7,10.2,0.1,104.8,268,Poor,33.4,80.8,1.7
11,2/1/2023,Lucknow,93.8,151.6,52.2,4.9,0.22,6,290,Poor,19.3,84.6,1.4
12,2/1/2023,Lucknow,114.9,190.3,30.7,6,1.66,43.6,295,Poor,28.1,86.7,2.2
13,2/1/2023,Bengaluru,38.4,64.8,10.7,6.3,0.87,34.4,85,Satisfactory,41.7,43.1,8
14,2/1/2023,Pune,81.6,134.1,6.6,6.9,1.07,5,159,Moderate,20.1,49.5,2.1
15,2/1/2023,Mumbai,104.5,141.4,6.6,8,2.87,21.1,264,Poor,13.9,80.3,0.4
16,2/1/2023,Bengaluru,32.9,43.8,13.6,13.7,1.71,41.6,54,Satisfactory,34.3,72.6,2.5
17,3/1/2023,Lucknow,128.6,190.4,30.9,6.6,1.75,56.8,339,Very Poor,32.6,95,4.8
18,3/1/2023,Mumbai,69.3,93.6,17.2,11.1,0.54,21.5,178,Moderate,32.2,42,2.9
19,3/1/2023,Bengaluru,93.7,164.6,15.1,9.9,0.75,72.9,270,Poor,23.6,62.8,0.9
20,3/1/2023,Chennai,50.3,69.3,17.1,4.9,0.17,37.6,51,Satisfactory,24.3,35.2,0.8
21,3/1/2023,Kolkata,97.7,131.3,15.8,5.3,0.88,24.3,294,Poor,33.1,46.2,4.5
22,3/1/2023,Mumbai,68.7,98.8,18.4,10.5,1.38,37.4,139,Moderate,23.1,74.3,3.9
23,3/1/2023,Hyderabad,68.7,102.1,13.6,3.2,0.19,28.6,153,Moderate,16.7,49,3.2
24,3/1/2023,Chennai,122.7,225.7,8.1,11.1,0.99,17.5,373,Very Poor,34.7,86,6.5
25,4/1/2023,Kolkata,91.6,152.4,22.8,9.3,2.5,62.7,221,Poor,23.1,60.7,0.9
26,4/1/2023,Mumbai,54.4,73.6,48.2,12,0.85,24.5,77,Satisfactory,24.1,27.6,0.2
27,4/1/2023,Pune,42.9,61.4,27.9,11.7,0.43,51.7,88,Satisfactory,22.3,79.6,1.8
28,5/1/2023,Mumbai,60.8,107.7,30.2,8.8,0.72,36,153,Moderate,29.9,28.2,3.3
29,5/1/2023,Lucknow,242.4,447.6,21.3,2.7,1.03,79,361,Very Poor,31.4,87.1,1.3
30,5/1/2023,Hyderabad,34.4,50.4,51.3,2.8,0.61,29.1,51,Satisfactory,18.6,51.8,8.3
31,5/1/2023,Kolkata,96.6,163.7,22.6,8.1,1.29,28.7,271,Poor,26.3,93.9,5.4
32,5/1/2023,Bengaluru,39.9,74.2,30.4,3,0.16,43.6,52,Satisfactory,31.2,66.4,3.7
33,5/1/2023,Bengaluru,43.7,77.4,16.7,4.2,1.31,37.6,80,Satisfactory,26.2,23.7,0.4
34,6/1/2023,Mumbai,87.3,139.2,22.3,1,0.84,25,188,Moderate,32.3,84.7,1.9
35,6/1/2023,Ahmedabad,88.8,124.3,21,15.6,0.1,42,110,Moderate,30.7,74.2,2.7
36,7/1/2023,Pune,83.9,109.7,7.9,3.7,0.55,49.7,163,Moderate,19,51.3,3.4
37,7/1/2023,Hyderabad,33.4,61.6,9.6,8.5,0.56,83.1,71,Satisfactory,32.1,67.6,2.5
38,7/1/2023,Hyderabad,107,143.4,29.5,18.3,0.28,14.5,254,Poor,24,71.5,0.5
39,7/1/2023,Bengaluru,25,33.3,7.4,10.3,0.56,10,37,Good,28.8,90.3,1.7
40,7/1/2023,Lucknow,49.8,89.7,21.9,9.5,0.9,11.8,52,Satisfactory,25.8,69.5,1.7
41,7/1/2023,Hyderabad,35.5,51.6,10.6,11.3,0.66,34.7,79,Satisfactory,38.9,94.4,3.7
42,7/1/2023,Chennai,49.3,92.3,32.9,10.5,1.12,84.8,61,Satisfactory,35.1,54.3,4.1
43,7/1/2023,Chennai,34.7,47.3,21.3,7.8,1.03,29.1,75,Satisfactory,20.5,77.5,4.2
44,7/1/2023,Jaipur,60,98.7,35.1,12,0.25,46.3,56,Satisfactory,32.3,73.6,9.4
45,8/1/2023,Delhi,196.1,290.1,11.1,21.8,1.51,6,306,Very Poor,19.5,78.1,2.5
46,8/1/2023,Mumbai,133.3,236.9,15,2.1,0.19,81.2,340,Very Poor,17.5,87,6
47,8/1/2023,Chennai,55.6,94.6,9.2,5.1,0.78,21.8,70,Satisfactory,23.3,85.7,10.3
48,8/1/2023,Ahmedabad,110.4,176.6,25.5,5.3,0.24,7.4,298,Poor,24,56.5,1
49,8/1/2023,Lucknow,137.5,202.9,31.2,13.4,2.37,113.5,306,Very Poor,19,61.6,2.7
50,8/1/2023,Chennai,45.1,62.6,12.8,6.8,0.6,45.1,61,Satisfactory,29.2,46.5,1.4
51,8/1/2023,Delhi,172.2,241.1,17.4,11.2,3.51,58.2,388,Very Poor,34.1,90.9,5.1
52,8/1/2023,Bengaluru,28.5,48.5,39.6,7.3,1.41,32.9,34,Good,24.7,21.3,1.4
53,8/1/2023,Bengaluru,30.2,51.3,17,2.6,1.74,80.4,98,Satisfactory,35.2,30.6,4.6
54,9/1/2023,Pune,43.2,62.7,29.1,14.1,0.94,69.4,93,Satisfactory,23.1,23.7,0.6
55,9/1/2023,Chennai,114.5,182.7,48.1,3.2,0.26,16.7,231,Poor,24.2,60.6,5.1
56,9/1/2023,Pune,83.4,135.9,14,3.9,0.78,44.9,150,Moderate,33.1,31.9,5.1
57,10/1/2023,Kolkata,108.6,141.8,26.4,4.5,1.5,33.8,225,Poor,32.7,29.1,6.3
58,10/1/2023,Chennai,71.2,127.4,16,7.2,1.34,25.8,119,Moderate,18.3,36.4,1.2
59,10/1/2023,Hyderabad,91.7,165.9,23.4,10.1,1.16,20.4,269,Poor,29.2,72.6,1.4
60,10/1/2023,Delhi,138.1,186.7,46.6,8.7,1.63,43.2,326,Very Poor,15.5,62.8,0.5
61,10/1/2023,Jaipur,72.8,108.2,30.6,5.8,0.42,40.9,164,Moderate,31.1,37.2,3.6
62,10/1/2023,Lucknow,116.5,215.5,50.5,4.6,0.16,81.9,276,Poor,22,86.7,2.6
63,10/1/2023,Kolkata,171.2,252.5,69.2,16.4,0.76,48.9,348,Very Poor,16.8,79.1,2.6
