Country,Region,Year,Happiness Score,GDP per Capita,Social Support,Healthy Life Expectancy,Freedom to Make Choices,Generosity,Perceptions of Corruption
Sweden,Europe,2019,6.823,1.597,1.562,1.243,0.567,0.06,0.23
Iceland,Europe,2015,3.686,1.024,0.78,0.797,0.863,0.0,0.496
Germany,Europe,2017,5.936,1.358,1.175,1.095,0.54,0.028,0.487
Germany,Europe,2026,5.468,1.401,1.098,1.042,0.402,0.039,0.474
United States,North America,2017,6.88,1.64,1.368,1.269,0.564,0.073,0.248
United States,North America,2016,4.877,1.169,1.204,0.917,0.425,0.341,0.016
Austria,Europe,2022,5.159,1.284,1.307,1.019,0.496,0.342,0.26
Netherlands,Europe,2015,4.866,1.188,1.224,0.901,0.469,0.326,0.07
New Zealand,Oceania,2015,7.737,1.945,1.552,1.262,0.789,0.424,0.365
Australia,Oceania,2021,3.355,0.878,0.739,0.776,0.674,0.199,0.032
United States,North America,2015,4.561,1.236,1.112,0.962,0.583,0.072,0.357
Netherlands,Europe,2021,5.694,1.495,1.273,1.059,0.557,0.015,0.054
Finland,Europe,2021,4.509,1.169,1.184,0.826,0.546,0.453,0.114
Australia,Oceania,2018,6.335,1.664,1.428,1.109,0.363,0.274,0.109
United States,North America,2023,7.24,1.724,1.44,1.257,0.844,0.163,0.324
Iceland,Europe,2022,4.692,1.159,0.994,0.911,0.591,0.415,0.135
India,South Asia,2021,3.808,0.942,0.953,0.752,0.339,0.152,0.123
Denmark,Europe,2015,6.419,1.499,1.555,1.116,0.886,0.247,0.017
Finland,Europe,2025,4.15,0.999,0.994,0.92,0.445,0.403,0.381
Finland,Europe,2026,6.495,1.571,1.459,1.201,0.621,0.054,0.418
Australia,Oceania,2021,3.895,0.917,0.978,0.82,0.31,0.307,0.113
Iceland,Europe,2024,7.515,1.803,1.608,1.395,0.705,0.441,0.105
Switzerland,Europe,2019,4.097,0.995,1.132,0.818,0.456,0.598,0.483
Netherlands,Europe,2015,7.237,1.689,1.486,1.326,0.808,0.514,0.202
Luxembourg,Europe,2023,7.084,1.842,1.611,1.296,0.648,0.223,0.47
Canada,North America,2019,4.363,1.086,1.031,0.844,0.897,0.106,0.009
Iceland,Europe,2020,4.759,1.283,1.173,0.875,0.626,0.305,0.318
United States,North America,2015,5.831,1.578,1.296,1.156,0.561,0.21,0.323
Netherlands,Europe,2019,4.105,1.078,1.01,0.869,0.326,0.597,0.235
Norway,Europe,2019,4.777,1.105,1.238,0.902,0.88,0.578,0.427
Sweden,Europe,2016,4.289,1.115,0.984,0.822,0.807,0.558,0.035
India,South Asia,2021,7.752,1.791,1.651,1.438,0.744,0.418,0.351
Canada,North America,2018,4.423,1.128,0.973,0.886,0.349,0.003,0.314
Finland,Europe,2020,3.341,0.884,0.717,0.778,0.317,0.347,0.219
Switzerland,Europe,2020,5.235,1.337,1.128,1.003,0.318,0.022,0.411
Australia,Oceania,2018,3.61,0.975,0.981,0.685,0.674,0.051,0.026
United States,North America,2017,5.595,1.44,1.325,1.134,0.61,0.194,0.398
Germany,Europe,2024,6.571,1.558,1.338,1.102,0.557,0.413,0.029
Finland,Europe,2019,5.123,1.237,1.05,0.905,0.861,0.383,0.258
Norway,Europe,2015,6.504,1.493,1.441,1.107,0.372,0.205,0.046
United States,North America,2019,7.106,1.789,1.521,1.185,0.595,0.284,0.087
Sweden,Europe,2022,3.231,0.998,0.948,0.637,0.309,0.56,0.251
Netherlands,Europe,2026,6.283,1.586,1.514,1.231,0.82,0.382,0.4
Denmark,Europe,2025,5.752,1.348,1.379,1.127,0.676,0.492,0.326
Germany,Europe,2024,4.315,1.053,0.99,0.755,0.671,0.202,0.328
Austria,Europe,2018,3.112,0.938,0.745,0.59,0.718,0.377,0.439
