Date,Symbol,Open,High,Low,Close,Adj_Close,Volume,Daily_Return_%,MA_5,MA_20
1/2/2023,HDFCBANK,2687.1,2715.52,2651.44,2660.14,2649.7,2078673,-1.003,2660.14,2660.14
1/2/2023,ICICIBANK,3265.52,3296.5,3256.57,3283.77,3277.43,1967435,0.559,3283.77,3283.77
1/2/2023,INFY,3082.66,3099.18,3017.71,3039,3026.27,2579618,-1.417,3039,3039
1/2/2023,ITC,2059.18,2064.06,2035.99,2045.15,2037.48,2748913,-0.681,2045.15,2045.15
1/2/2023,LT,1755.81,1767.99,1712.05,1714.84,1709.27,2238326,-2.333,1714.84,1714.84
1/2/2023,RELIANCE,1435.98,1439.65,1401.63,1404.77,1397.89,3569555,-2.174,1404.77,1404.77
1/2/2023,SBIN,1922.05,1929.43,1899.56,1908.61,1903.06,2366416,-0.699,1908.61,1908.61
1/2/2023,TATAMOTORS,3158.4,3172.14,3083.03,3133.69,3133.41,2173546,-0.782,3133.69,3133.69
1/2/2023,TCS,2492.16,2535.12,2475.44,2526.6,2518.33,1056678,1.382,2526.6,2526.6
1/2/2023,WIPRO,2709.76,2728.26,2705.38,2712.2,2704.59,3971131,0.09,2712.2,2712.2
1/3/2023,HDFCBANK,2660.14,2726.01,2641.02,2696.94,2693.48,962837,1.383,2678.54,2678.54
1/3/2023,ICICIBANK,3283.77,3342.6,3222.57,3333.41,3333.18,2063223,1.512,3308.59,3308.59
1/3/2023,INFY,3039,3116.93,3013.8,3110.32,3097,3835569,2.347,3074.66,3074.66
1/3/2023,ITC,2045.15,2110.82,2044.06,2107.69,2106.66,1279063,3.058,2076.42,2076.42
1/3/2023,LT,1714.84,1738.05,1701.83,1729.87,1727.98,2092268,0.876,1722.36,1722.36
1/3/2023,RELIANCE,1404.77,1440.52,1398.87,1433.86,1428.87,998682,2.071,1419.32,1419.32
1/3/2023,SBIN,1908.61,1918.25,1890.17,1908.67,1900.85,4914488,0.003,1908.64,1908.64
1/3/2023,TATAMOTORS,3133.69,3147.78,3103.44,3144.17,3133.45,584468,0.334,3138.93,3138.93
1/3/2023,TCS,2526.6,2535.49,2481.12,2496.68,2491.21,3662578,-1.185,2511.64,2511.64
1/3/2023,WIPRO,2712.2,2748.76,2619.7,2662.73,2660.82,2950283,-1.824,2687.46,2687.46
1/4/2023,HDFCBANK,2696.94,2732.05,2678.05,2682.06,2669.72,2016351,-0.552,2679.71,2679.71
