Date,Year,Month,Day,Country,State_Province,Confirmed_Cases,Deaths,Recovered,Active_Cases,Tests_Conducted,Vaccinated_Percentage,New_Cases_Today,New_Deaths_Today,Population_Millions,Mortality_Rate_Percent,Recovery_Rate_Percent
11/2/2014,2020,January,1,Germany,N/A,816,16,662,138,5303,2.58,7,0,200.87,1.96,81.13
23/04/2000,2020,January,2,Brazil,N/A,244,2,189,53,3140,2.73,3,0,856.98,0.82,77.46
24/09/2000,2020,January,3,Iran,N/A,820,11,775,34,9841,0,47,0,631.25,1.34,94.51
14/09/2000,2020,January,4,Pakistan,N/A,131,2,106,23,894,4.8,5,0,1273.14,1.53,80.92
23/03/2000,2020,January,5,Russia,N/A,1309,13,1102,194,7159,0,60,0,553.82,0.99,84.19
29/03/2003,2020,January,6,Russia,N/A,1237,12,879,346,12221,0.96,25,0,1160.4,0.97,71.06
24/05/2004,2020,January,7,Ukraine,N/A,970,24,697,249,19209,0,35,1,8.73,2.47,71.86
29/09/2005,2020,January,8,China,N/A,1929,38,1797,94,28483,0,61,1,519.77,1.97,93.16
19/08/2018,2020,January,9,Poland,N/A,1580,30,1257,293,30929,8.79,93,1,331.14,1.9,79.56
16/02/2002,2020,January,10,Canada,N/A,3656,20,2657,979,20003,0,79,1,712.49,0.55,72.68
17/02/2000,2020,January,11,UK,N/A,976,10,701,265,9121,0,58,0,1220.17,1.02,71.82
19/09/2013,2020,January,12,Japan,N/A,2949,38,2145,766,24827,1.1,222,1,1205.16,1.29,72.74
13-01-2020,2020,January,13,Germany,N/A,1172,26,899,247,10151,0,47,1,781.78,2.22,76.71
14-01-2020,2020,January,14,South Africa,N/A,2606,29,2148,429,24791,0,133,2,73.02,1.11,82.43
15-01-2020,2020,January,15,UK,N/A,2340,42,1899,399,31106,0,81,2,518.15,1.79,81.15
16-01-2020,2020,January,16,Indonesia,N/A,658,13,548,97,4181,7.22,26,0,261.94,1.98,83.28
17-01-2020,2020,January,17,Brazil,N/A,2193,39,1659,495,32187,4.69,133,1,542.04,1.78,75.65
18-01-2020,2020,January,18,Pakistan,N/A,1889,19,1577,293,29160,4.97,70,0,1375.05,1.01,83.48
19-01-2020,2020,January,19,South Africa,N/A,48,1,44,3,695,1.28,1,0,1016.61,2.08,91.67
20-01-2020,2020,January,20,Brazil,N/A,1744,45,1628,71,29264,5.71,116,3,521.82,2.58,93.35
21-01-2020,2020,January,21,Ukraine,N/A,1627,34,1230,363,25515,0,56,0,1045.34,2.09,75.6
22-01-2020,2020,January,22,Italy,N/A,1678,12,1328,338,15065,5.12,113,0,883.96,0.72,79.14
23-01-2020,2020,January,23,USA,N/A,2531,67,1917,547,31606,0,201,3,62,2.65,75.74
24-01-2020,2020,January,24,Japan,N/A,787,22,635,130,15346,4.03,26,0,1191.74,2.8,80.69
25-01-2020,2020,January,25,Brazil,N/A,2524,56,2126,342,16299,0,129,1,1228.44,2.22,84.23
26-01-2020,2020,January,26,Indonesia,N/A,1533,23,1171,339,21726,9.39,40,1,100.25,1.5,76.39
27-01-2020,2020,January,27,Canada,N/A,1409,20,1019,370,19266,1.4,69,0,760.16,1.42,72.32
28-01-2020,2020,January,28,Argentina,N/A,724,18,571,135,4999,0.94,58,0,302.93,2.49,78.87
29-01-2020,2020,January,29,UK,N/A,2133,32,1866,235,15091,0,50,0,1041.92,1.5,87.48
30-01-2020,2020,January,30,UK,N/A,2531,70,2051,410,21758,0,135,4,723.86,2.77,81.04
31-01-2020,2020,January,31,UK,N/A,176,2,156,18,917,9.82,7,0,137.87,1.14,88.64
1/2/2020,2020,February,1,Mexico,N/A,988,20,703,265,19006,6.1,42,1,22.41,2.02,71.15
2/2/2020,2020,February,2,Bangladesh,N/A,2603,23,1868,712,38098,0.69,133,0,1316.38,0.88,71.76
3/2/2020,2020,February,3,Poland,N/A,1822,46,1649,127,26216,9.7,109,3,290.15,2.52,90.5
4/2/2020,2020,February,4,South Korea,N/A,758,15,594,149,11245,0,61,0,477.53,1.98,78.36
5/2/2020,2020,February,5,Bangladesh,N/A,1292,26,1187,79,20705,0,48,1,249.24,2.01,91.87
6/2/2020,2020,February,6,Spain,N/A,3367,27,2567,773,46155,9.16,180,1,334.8,0.8,76.24
7/2/2020,2020,February,7,Colombia,N/A,1947,53,1608,286,33871,4.81,123,2,545.49,2.72,82.59
8/2/2020,2020,February,8,Japan,N/A,2130,36,1753,341,13310,0.14,115,1,775.63,1.69,82.3
9/2/2020,2020,February,9,Turkey,N/A,2667,19,2196,452,15637,4.12,21,1,1242.9,0.71,82.34
7/8/2016,2020,February,10,China,N/A,3009,78,2426,505,25090,3.28,203,3,206.1,2.59,80.62
8/6/2012,2020,February,11,UK,N/A,2660,71,2019,570,49516,0,40,5,991.75,2.67,75.9
8/1/2000,2020,February,12,Bangladesh,N/A,1853,51,1348,454,22957,8.22,91,2,79.77,2.75,72.75
